ARTISTS,ALBUM TITLE,SCORE,GENDER
Iggy Pop,Post-Pop Depression,7,M
Mr. Yote,The Terrible Tales of Scurvy Jones,7,M
Bones,Useless,7,M
Benjamin Clementine,At Least For Now,7,M
Pusha T,King Push – Darkest Before Dawn: The Prelude,7,M
Christian Scott aTunde Adjuah,Stretch Music,7,M
Wiki,Lil Me,7,M
Waka Flocka Flame,Flockaveli 1.5,7,M
Freddie Gibbs,Shadow of a Doubt,7,M
Car Seat Headrest,Teens of Style,7,M
Uncommon Nasa,Halfway,7,M
Mac Miller,GO:OD AM,7,M
Dr. Dre,Compton,7,M
Mac DeMarco,Another One,7,M
Quelle Chris,Innocent Country,7,M
RP Boo,"Fingers, Bank Pads & Shoeprints",7,M
Meek Mill,Dreams Worth More Than Money,7,M
Jamie xx,In Colour,7,M
Paul de Jong,IF,7,M
Toro Y Moi,What For?,7,M
Billy Woods,"Today, I Wrote Nothing",7,M
Sufjan Stevens,Carrie & Lowell,7,M
John Carpenter,Lost Themes,7,M
Lupe Fiasco,Tetsuo & Youth,7,M
OG Maco,OG Maco,7,M
A$AP Ferg,Ferg Forever,7,M
Andy Stott,Faith In Strangers,7,M
Mr. Oizo,The Church,7,M
Vince Staples,Hell Can Wait,7,M
Sir Michael Rocks,Banco,7,M
Otis Brown III,The Thought of You,7,M
Weird Al Yankovic,Mandatory Fun,7,M
Deadmau5,While (1 Is Less Than 2),7,M
Owen Pallett,In Conflict,7,M
Lil Herb,Welcome To Fazoland,7,M
Tony Molina,Dissed and Dismissed,7,M
Evian Christ,Waterfall,7,M
Schoolboy Q,Oxymoron,7,M
Nils Frahm,Spaces,7,M
Quelle Chris,Ghost At The Finish Line,7,M
Moonface,Julia With Blue Jeans On,7,M
Eminem,The Marshall Mathers LP 2,7,M
Four Tet,Beautiful Rewind,7,M
Shad,Flying Colours,7,M
Danny Brown,Old,7,M
Machinedrum,Vapor City,7,M
Denzel Curry,Nostalgic 64,7,M
King Krule,6 Feet Beneath The Moon,7,M
A$AP Ferg,Trap Lord,7,M
James Holden,The Inheritors,7,M
Billy Woods,Dour Candy,7,M
Joey Bada$$,Summer Knights,7,M
Mr. Muthafuckin' eXquire,Kismet,7,M
Bibio,Silver Wilkinson,7,M
Quasimoto,Yessir Whatever,7,M
Colin Stetson,New History Warfare Vol. 3: To See More Light,7,M
Big K.R.I.T.,King Remembered In Time,7,M
James Blake,Overgrown,7,M
Lapalux,Nostalchic,7,M
The Game,The Next Day,7,M
A$AP Rocky,Long.Live.A$AP,7,M
Scott Walker,Bish Bosch,7,M
Captain Murphy,Duality,7,M
Vessel,Order of Noise,7,M
Andy Stott,Luxury Problems,7,M
Blu & Exile,Give Me My Flowers While I Can Still Smell Them,7,M
The Mountain Goats,Transcendental Youth,7,M
Flying Lotus,Until the Quiet Comes,7,M
Jens Lekman,I Know What Love Isn't,7,M
Four Tet,Pink,7,M
Eprom,Metahuman,7,M
R. Stevie Moore,Lo Fi Hi Fives,7,M
Gnaw Their Tongues,Eschatological Scatology,7,M
Aesop Rock,Skelethon,7,M
Frank Ocean,Channel Orange,7,M
H-SIK,Cocody,7,M
Open Mike Eagle,4NML HSPTL,7,M
Joey Bada$$,1999,7,M
Clams Casino,Instrumentals 2,7,M
Big K.R.I.T.,Live From the Underground,7,M
Mount Eerie,Clear Moon,7,M
Dr. John,Locked Down,7,M
Kindness,"World, You Need a Change of Mind",7,M
Shlohmo,Vacation,7,M
Zammuto,Idiom Wind,7,M
Jacaszek,Glimmer,7,M
King Krule,King Krule,7,M
The Field,Looping State of Mind,7,M
Tom Waits,Bad As Me,7,M
Rustie,Glass Swords,7,M
Shlohmo,Bad Vibes,7,M
Apathy,Honkey Kong,7,M
Hudson Mohawke,Satin Panthers,7,M
Coma Cinema,Blue Suicide,7,M
Amon Tobin,ISAM,7,M
Siriusmo,Mosaik,7,M
James Blake,James Blake,7,M
A-1,After School Special,7,M
Skrillex,Scary Monsters and Nice Sprites,7,M
"Tyler, The Creator",Bastard,7,M
Cee Lo Green,The Lady Killer,7,M
Gold Panda,Lucky Shiner,7,M
Matthew Dear,Black City,7,M
The Gaslamp Killer,Death Gate,7,M
Teen Daze,Four More Years,7,M
Wild Nothing,Gemini,7,M
Here We Go Magic,Pigeons,7,M
Tobacco,Maniac Meat,7,M
Caribou,Suddenly,7,M
Bad Bunny,YHLQMDLG,7,M
gupi,None,7,M
Yves Tumor,Heaven To A Tortured Mind,7,M
Squarepusher,Be Up a Hello,7,M
Earl Sweatshirt,Some Rap Songs,8,M
J.I.D,DiCaprio 2,8,M
Anderson .Paak,Oxnard,8,M
Aphex Twin,Collaspe,8,M
Blood Orange,Negro Swan,8,M
Hermit and the Recluse,Orpheus vs. the Sirens,8,M
Louis Cole,Time,8,M
Iglooghost,Clear Tamei,8,M
Denzel Curry,TA13OO,8,M
Kanye West,ye,8,M
Pusha T,Daytona,8,M
Frank Ocean,Endless,8,M
Andrew W.K.,You’re Not Alone,8,M
Car Seat Headrest,Twin Fantasy (Face to Face),8,M
JPEGMAFIA,Veteran,8,M
Uncommon Nasa,Written at Night,8,M
Iglooghost,Neō Wax Bloom,8,M
Open Mike Eagle,Brick Body Kids Still Daydream,8,M
Ariel Pink,Dedicated to Bobby Jameson,8,M
Alex Cameron,Forced Witness,8,M
Richard Dawson,Peasant,8,M
"Tyler, the Creator",Flower Boy,8,M
Billy Woods,Known Unknowns,8,M
Jay-Z,4:44,8,M
The Mountain Goats,Goths,8,M
Kirin J Callinan,Bravado,8,M
Sinjin Hawke,First Opus,8,M
Forest Swords,Compassion,8,M
Perfume Genius,No Shape,8,M
Joey Bada$$,All Amerikkkan Bada$$,8,M
Quelle Chris,"Being You Is Great, I Wish I Could Be You More Often",8,M
Sampha,Process,8,M
Wiley,Godfather,8,M
Conor Oberst,Ruminations,8,M
Jeff Rosenstock,Worry,8,M
Ka,Honor Killed the Samurai,8,M
Frank Ocean,Blonde/Endless,8,M
YG,Still Brazy,8,M
Car Seat Headrest,Teens of Denial,8,M
Aesop Rock,The Impossible Kid,8,M
Sturgill Simpson,A Sailor's Guide To Earth,8,M
Denzel Curry,Imperial,8,M
Kendrick Lamar,untitled unmastered,8,M
Kanye West,The Life of Pablo,8,M
Ty Segall,Emotional Mugger,8,M
Iglooghost,Chinese Nü Yr,8,M
The Game,The Documentary 2.5,8,M
milo,So the Flies Don't Come,8,M
Travis Scott,Rodeo,8,M
Lil Ugly Mane,Third Side of Tape,8,M
Ash Koosha,GUUD,8,M
Prurient,Frozen Niagara Falls,8,M
The Mountain Goats,Beat The Champ,8,M
Clarence Clarity,No Now,8,M
Jeff Rosenstock,We Cool?,8,M
Drake,"If You're Reading This, It's Too Late",8,M
Your Old Droog,Kinison,8,M
Father John Misty,"I Love You, Honeybear",8,M
Open Mike Eagle,A Special Episode Of,8,M
Joey Bada$$,B4.DA.$$,8,M
Dean Blunt,Black Metal,8,M
Flying Lotus,You're Dead,8,M
Perfume Genius,Too Bright,8,M
Uncommon Nasa,New York Telephone,8,M
Mick Jenkins,The Water[s],8,M
Neil Cicierega,Mouth Sounds / Mouth Silence,8,M
Apathy,Connecticut Casual,8,M
Open Mike Eagle,Dark Comedy,8,M
Tobacco,Ultima II Massage,8,M
Actress,Ghettoville,8,M
Daniel Avery,Drone Logic,8,M
Bill Callahan,Dream River,8,M
YC The Cynic,GNK,8,M
Ka,The Night's Gambit,8,M
Jon Hopkins,Immunity,8,M
The Haxan Cloak,Excavation,8,M
Kurt Vile,Wakin On A Pretty Daze,8,M
Shlohmo,Laid Out,8,M
Cakes Da Killa,The Eulogy,8,M
Milo,Things That Happen At Day / Things That Happen At Night,8,M
Karriem Riggins,Alone Together,8,M
The Gaslamp Killer,Breakthrough,8,M
Matthew Dear,Beams,8,M
Wild Nothing,Nocturne,8,M
Recondite,On Acid,8,M
Killer Mike,R.A.P. Music,8,M
Ab-Soul,Control System,8,M
Lone,Galaxy Garden,8,M
Billy Woods,History Will Absolve me,8,M
Daniel Rossen,Silent Hour / Golden Mile,8,M
Big K.R.I.T.,4evaNaDay,8,M
John Talabot,fin,8,M
Heems,Nehru Jackets,8,M
The Weeknd,Echoes of Silence,8,M
Oneohtrix Point Never,Replica,8,M
ASAP Rocky,LiveLoveA$AP,8,M
Milo,I Wish My Brother Rob Was Here,8,M
Thundercat,The Golden Age of Apocalypse,8,M
Giles Corey,Giles Corey,8,M
Danny Brown,XXX,8,M
Kendrick Lamar,Section.80,8,M
SBTRKT,SBTRKT,8,M
Theophilus London,Lover's Holiday,8,M
Elzhi,Elmatic,8,M
Reks,R.E.K.S.,8,M
Tim Hecker,"Ravedeath, 1972",8,M
The Mountain Goats,All Eternals Deck,8,M
Colin Stetson,New History Warfare Vol. 2: Judges,8,M
Nicolas Jaar,Space Is Only Noise,8,M
Dumbo Gets Mad,Elephants at the Door,8,M
Ghostface Killah,Apollo Kids,8,M
Kids & Explosions,Shit Computer,8,M
Girl Talk,All Day,8,M
Brian Eno,Small Craft On A Milk Sea,8,M
Diamond Rings,Special Affections,8,M
Luke Abbott,Holkham Drones,8,M
Twin Shadow,Forget,8,M
Flying Lotus,Pattern+Grid World,8,M
Sufjan Stevens,All Delighted People,8,M
Baths,Cerulean,8,M
Wavves,King of the Beach,8,M
Ariel Pink's Haunted Graffiti,Before Today,8,M
Flying Lotus,Cosmogramma,8,M
King Krule,Man Alive!,8,M
Nicolas Jaar,Cenizas,8,M
Mac Miller,Circles,8,M
Dan Deacon,Mystic Familiar,8,M
R.A.P. Ferreira,Purple Moonlight Pages,8,M
Jack White,Boarding House Reach,9,M
A.A.L. (Against All Logic),2012 - 2017,9,M
Big K.R.I.T.,4eva Is a Might Long Time,9,M
Father John Misty,Pure Comedy,9,M
Mount Eerie,A Crow Looked At Me,9,M
Neil Cicierega,Mouth Moods,9,M
Danny Brown,Atrocity Exhibition,9,M
David Bowie,★ (Blackstar),9,M
Kamasi Washington,The Epic,9,M
Ariel Pink,Pom Pom,9,M
Tim Hecker,Virgins,9,M
Kendrick Lamar,"good kid, m.A.A.d. city",9,M
Perfume Genius,Put Your Back N 2 It,9,M
Big K.R.I.T.,Returnof4eva,9,M
Gonjasufi,A Sufi and a Killer ,9,M
"Tyler, The Creator",IGOR,9,M
Kendrick Lamar,To Pimp A Butterfly,10,M
Green Day,Father of All Motherfuckers,0,#N/A
Dance Gavin Dance,Instant Gratification,1,#N/A
Lil Yatchy,Nuthin' 2 Prove,2,#N/A
Gas,Narkopop,2,#N/A
Spark Master Tape,Silhouete of a Sunkken City,2,#N/A
VARIOUS ARTISTS,Space Heads,2,#N/A
Foxygen,...And Star Power,2,#N/A
AFI,Burials,2,#N/A
Planningtorock,W,2,#N/A
Salem,King Night,2,#N/A
Shabazz Palaces,Quazarz: Born on a Gangster Star,3,#N/A
Green Day,Revolution Radio,3,#N/A
The Strokes,Future Present Past,3,#N/A
M83,JUNK,3,#N/A
Daughter,Not To Disappear,3,#N/A
Foxing,Dealer,3,#N/A
Twitching Tongues,Disharmony,3,#N/A
Cal Chuchesta,The New CALassic,3,#N/A
Citizen,Everybody Is Going To Heaven,3,#N/A
Portico,Living Fields,3,#N/A
Mellowhype,INSA,3,#N/A
Real Estate,Atlas,3,#N/A
Glitch Mob,Love Death Immortality,3,#N/A
Arctic Monkeys,AM,3,#N/A
Edward Sharpe & The Magnetic Zeros,Edward Sharpe & The Magnetic Zeros,3,#N/A
STRFKR,Miracle Mile,3,#N/A
Tegan and Sara,Heartthrob,3,#N/A
Bad Brains,Into the Future,3,#N/A
Mellowhype,Numbers,3,#N/A
Muse,The 2nd Law,3,#N/A
Slaughterhouse,Welcome to: Our House,3,#N/A
A$AP Mob,Lord$ Never Worry,3,#N/A
Metric,Synthetica,3,#N/A
Best Coast,The Only Place,3,#N/A
WZRD,WZRD,3,#N/A
Lamb of God,Resolution,3,#N/A
Neon Indian,Era Extraña,3,#N/A
Cerebral Ballzy,Cerebral Ballzy,3,#N/A
Beady Eye,"Different Gear, Still Speeding",3,#N/A
jj,Kills,3,#N/A
Sleigh Bells,Treats,3,#N/A
Portugal. The Man,American Ghetto ,3,#N/A
The Knife,"Tomorrow, In a Year Album ",3,#N/A
Sufjan Stevens & Lowell Brams,Aporia,3,#N/A
Interpol,Marauder,4,#N/A
Panopticon,The Scars of Man on the Once Nameless Wilderness ,4,#N/A
The Neighborhood,The Neighborhood,4,#N/A
Tiny Moving Parts,Swell,4,#N/A
Migos,Culture II,4,#N/A
Sam Smith,The Thrill of It All,4,#N/A
Weezer,Pacific Daydream,4,#N/A
A$AP Mob,Cozy Tapes Vol. 2,4,#N/A
Arcade Fire,Everything Now,4,#N/A
Slowdive,Slowdive,4,#N/A
Mastodon,Emperor of Sand,4,#N/A
Korn,The Serenity of Suffering,4,#N/A
Oathbreaker,Rheia,4,#N/A
Crystal Castles,Amnesty (I),4,#N/A
Deftones,Gore,4,#N/A
Explosions in the Sky,The Wilderness,4,#N/A
The 1975,"I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It",4,#N/A
Majid Jordan,Majid Jordan,4,#N/A
M.E.D. Blu and Madlib,Bad Neighbor,4,#N/A
FIDLAR,Too,4,#N/A
Titus Andronicus,The Most Lamentable Tragedy,4,#N/A
Refused,Freedom!,4,#N/A
Donnie Trumpet & the Social Experiment,Surf,4,#N/A
Twenty One Pilots,Blurryface,4,#N/A
Purity Ring,Another Eternity,4,#N/A
Ratking,700-FILL,4,#N/A
Title Fight,Hyperview,4,#N/A
Various Artists,Shady XV,4,#N/A
Pianos Become The Teeth,Keep You,4,#N/A
Slipknot,.5: The Gray Chapter,4,#N/A
Fallujah,The Flesh Prevails,4,#N/A
Parquet Courts,Sunbathing Animal,4,#N/A
Coldplay,Ghost Stories,4,#N/A
The Roots,...And Then You Shoot Your Cousin,4,#N/A
The Black Keys,Turn Blue,4,#N/A
Pixies,Indie Cindy,4,#N/A
Cults,Static,4,#N/A
The National,Trouble Will Find Me,4,#N/A
Iggy And The Stooges,Ready To Die,4,#N/A
Bring Me The Horizon,Sempiternal,4,#N/A
The Men,New Moon,4,#N/A
Crystal Castles,(III),4,#N/A
The Soft Moon,Zeros,4,#N/A
Between the Buried and Me,The Parallax II: Future Sequence,4,#N/A
The xx,Coexist,4,#N/A
Chromatics,Kill For Love,4,#N/A
Tennis,Young & Old,4,#N/A
The Internet,Purple Naked Ladies,4,#N/A
M83,"Hurry Up, We're Dreaming",4,#N/A
The Cool Kids,When Fish Ride Bicycles,4,#N/A
Cults,Cults,4,#N/A
Manchester Orchestra,Simple Math,4,#N/A
The Antlers,Burst Apart,4,#N/A
The Kills,Blood Pressures,4,#N/A
The Decemberists,The King Is Dead,4,#N/A
White Lies,Ritual,4,#N/A
Kings of Leon,Come Around Sundown,4,#N/A
The Fresh & Onlys,Play It Strange,4,#N/A
Abe Vigoda,Crush,4,#N/A
Black Milk,Album of the Year,4,#N/A
Klaxons,Surfing the Void,4,#N/A
Foals,Total Life Forever,4,#N/A
Broken Social Scene,Forgiveness Rock Record ,4,#N/A
Burzum,Belus ,4,#N/A
Muse,Simulation Theory,5,#N/A
"Future, Juice WRLD",WRLD on Drugs,5,#N/A
88rising,Head in the Clouds,5,#N/A
Busdriver,Electricity is on our Side,5,#N/A
Deafheaven,Ordinary Corrupt Human Love,5,#N/A
The Carters,Everything Is Love,5,#N/A
Artic Monkeys,Tranquillity Based Hotel + Casino,5,#N/A
A Perfect Circle,Eat the Elephant,5,#N/A
Unkown Mortal Orchestra,Sex & Food,5,#N/A
Preoccupations,New Material,5,#N/A
Titus Andronicus,A Productive Cough,5,#N/A
Turnstile,Time & Space,5,#N/A
"Big Sean, Metro Boomin",Double or Nothing,5,#N/A
Liars,TFCF,5,#N/A
Destroyer,ken,5,#N/A
Fever Ray,Plunge,5,#N/A
"Future, Young Thug",Super Slimey,5,#N/A
Godspeed You! Black Emperor,Luciferian Towers,5,#N/A
The War on Drugs,A Deeper Understanding,5,#N/A
"King Gizzard & The Lizard Wizard, Mild High Club",Sketches of Brunswick East,5,#N/A
Shabazz Palaces,Quazarz vs. The Jealous Machines,5,#N/A
Haim,Something to Tell You,5,#N/A
"James McAlister, Sufjan Stevens, Nico Mulhy, Bryce Dessner",Planetarium,5,#N/A
Beach Fossils,Somersault,5,#N/A
alt-J,Relaxer,5,#N/A
Gorillaz,Humanz,5,#N/A
The Smith Street Band,More Scared Than You Than You Are of Me,5,#N/A
Timber Timbre,"Sincerely, Future Pollution",5,#N/A
Real Estate,In Mind,5,#N/A
The Flaming Lips,Oczy Mlody,5,#N/A
Justice,Women,5,#N/A
A$AP Mob,The Cozy Tapes Vol. 1: Friends,5,#N/A
American Football,American Football ,5,#N/A
Bon Iver,"22, A Million ",5,#N/A
of Montreal,Innocence Reaches,5,#N/A
AJJ,The Bible 2,5,#N/A
Descendents,Hypercaffium Spazzinate ,5,#N/A
Red Hot Chilli Peppers,The Getaway,5,#N/A
Animal Collective,Painting With,5,#N/A
Coldplay,A Head Full of Dreams,5,#N/A
The Garden,Haha,5,#N/A
Beach House,Thank Your Lucky Stars,5,#N/A
CHVRCHES,Every Open Eye,5,#N/A
The Wonder Years,No Closer To Heaven,5,#N/A
Foals,What Went Down,5,#N/A
Health,Death Magic,5,#N/A
The Internet,Ego Death,5,#N/A
Desaparecidos,Payola,5,#N/A
mewithoutYOU,Pale Horses,5,#N/A
Muse,Drones,5,#N/A
Hiatus Kaiyote,Choose Your Weapon,5,#N/A
Drenge,Undertow,5,#N/A
Death Cab For Cutie,Kintsugi,5,#N/A
Modest Mouse,Strangers To Ourselves,5,#N/A
Cannibal Ox,Blade of the Ronin,5,#N/A
Negură Bunget,TĂU,5,#N/A
Hail Mary Mallon,Bestiary,5,#N/A
Foo Fighters,Sonic Highways,5,#N/A
The World Is A Beautiful Place...,Between Bodies,5,#N/A
Pharmakon,Bestial Burden,5,#N/A
Royal Blood,Royal Blood,5,#N/A
Electric Wizard,Time To Die,5,#N/A
NehruvianDOOM,NehruvianDOOM,5,#N/A
Opeth,Pale Communion,5,#N/A
Shabazz Palaces,Lese Majesty,5,#N/A
Shlohmo & Jeremih,No More,5,#N/A
Trap Them,Blissfucker,5,#N/A
Trash Talk,No Peace,5,#N/A
Chromeo,White Women,5,#N/A
Andrew Jackson Jihad,Christmas Island,5,#N/A
Avey Tare's Slasher Flicks,Enter The Slasher House,5,#N/A
Migos,No Label II,5,#N/A
Temples,Sun Structures,5,#N/A
Against Me!,Transgender Dysphoria Blues,5,#N/A
Burial,Rival Dealer,5,#N/A
Arcade Fire,Reflektor,5,#N/A
The Underachievers,The Lords of Flatbush,5,#N/A
Dawn of Midi,Dysnomia,5,#N/A
letlive.,The Blackest Beautiful,5,#N/A
Phoenix,Bankrupt!,5,#N/A
Yeah Yeah Yeahs,Mosquito,5,#N/A
Thee Oh Sees,Floating Coffin,5,#N/A
Ghost,Infestissumam,5,#N/A
The Strokes,Comedown Machine,5,#N/A
Nick Cave and The Bad Seeds,Push The Sky Away,5,#N/A
Portal,Vexovoid,5,#N/A
Foals,Holy Fire,5,#N/A
Local Natives,Hummingbird,5,#N/A
Cult of Luna,Vertikal,5,#N/A
Tim Hecker and Daniel Lopatin,Instrumental Tourist,5,#N/A
Goat,World Music,5,#N/A
Ratking,Wiki93,5,#N/A
The Secret,Agnus Dei,5,#N/A
Black Moth Super Rainbow,Cobra Juicy,5,#N/A
Efterklang,Piramida,5,#N/A
The Faceless,Autotheism,5,#N/A
Om,Advaitic Songs,5,#N/A
Kreator,Phantom Antichrist,5,#N/A
Japandroids,Celebration Rock,5,#N/A
Quakers,Quakers,5,#N/A
Black Dice,Mr. Impossible,5,#N/A
The Shins,Port of Morrow,5,#N/A
The Magnetic Fields,Love at the Bottom of the Sea,5,#N/A
Sleigh Bells,Reign of Terror,5,#N/A
A Place To Bury Strangers,Onwards To The Wall,5,#N/A
The Maccabees,Given to the Wild,5,#N/A
Alcest,Les voyages de l'âme,5,#N/A
Justice,"Audio, Video, Disco",5,#N/A
Mastodon,The Hunter,5,#N/A
Opeth,Heritage,5,#N/A
The Drums,Portamento,5,#N/A
Red Hot Chili Peppers,I'm With You,5,#N/A
Kanye West & Jay-Z,Watch the Throne,5,#N/A
Unknown Mortal Orchestra,Unknown Mortal Orchestra,5,#N/A
They Might Be Giants,Join Us,5,#N/A
WU LYF,Go Tell Fire To The Mountain,5,#N/A
Fucked Up,David Comes to Life,5,#N/A
Arctic Monkeys,Suck It and See,5,#N/A
Woods,Sun and Shade,5,#N/A
My Morning Jacket,Circuital,5,#N/A
Jesu,Ascension,5,#N/A
The Lonely Island,Turtleneck and Chain,5,#N/A
Explosions In the Sky,"Take Care, Take Care, Take Care",5,#N/A
Rotten Sound,Cursed,5,#N/A
Yuck,Yuck,5,#N/A
Cut Copy,Zonoscope,5,#N/A
Cage the Elephant,"Thank You, Happy Birthday",5,#N/A
Wire,Red Barked Tree,5,#N/A
Gorillaz,The Fall,5,#N/A
Röyksopp,Senior,5,#N/A
Girls,Broken Dreams Club,5,#N/A
Matt & Kim,Sidewalks,5,#N/A
Shobaleader One (Squarepusher),d'Demonstrator,5,#N/A
Mark Ronson & The Business Intl.,Record Collection,5,#N/A
The Walkmen,Lisbon,5,#N/A
of Montreal,False Priest,5,#N/A
Tera Melos,Patagonian Rats,5,#N/A
Interpol,Interpol,5,#N/A
The Budos Band,The Budos Band III,5,#N/A
Best Coast,Crazy For You,5,#N/A
Club 8,The People's Record,5,#N/A
Melvins,The Bride Screamed Murder,5,#N/A
The Dead Weather,Sea of Cowards,5,#N/A
Darkthrone,Circle the Wagons ,5,#N/A
Iggy and the Stooges,Raw Power  (Legacy Remaster),5,#N/A
Autechre,Oversteps ,5,#N/A
Broken Bells,Broken Bells ,5,#N/A
BTS,Map of the Soul: 7,5,#N/A
Machine Girl,U-Void Synthesizer,5,#N/A
Mark Kozelek with Ben Boye and Jim White,Mark Kozelek with Ben Boye and Jim White 2,5,#N/A
Algiers,There Is No Year,5,#N/A
The 1975,A Brief Inquiry Into Online Relationships,6,#N/A
Sun Kil Moon,This Is My Dinner,6,#N/A
Little Big,Antipositive Part 2 ,6,#N/A
High on Fire,Electric Messiah,6,#N/A
City Morgue,Vol. 1: Hell or High Water,6,#N/A
$uicideBoy$,I Want To Die in New Orleans,6,#N/A
Thou,Magnus,6,#N/A
Oh Sees,Smote Reverser,6,#N/A
